plot,falltreatment,treatment,block,seedsOut,species,background,bdensity,disturbed,AVFA_seedsIn,BRHO_seedsIn,ESCA_seedsIn,LACA_seedsIn,VUMY_seedsIn
1,dry,consistentDry,A,24.6023,ESCA,Trifolium hirtum,high,NA,10,12,15,15,12
1,dry,consistentDry,A,183.1255,VUMY,Trifolium hirtum,high,NA,10,12,15,15,12
1,dry,consistentDry,A,0,LACA,Trifolium hirtum,high,NA,10,12,15,15,12
1,dry,consistentDry,A,0,BRHO,Trifolium hirtum,high,NA,10,12,15,15,12
1,dry,consistentDry,A,21.0878,BRHO,Vulpia myuros,low,NA,10,12,15,15,1563
1,dry,consistentDry,A,108.162,AVFA,Vulpia myuros,low,NA,10,12,15,15,1563
1,dry,consistentDry,A,14.0044,ESCA,Vulpia myuros,low,NA,10,12,15,15,1563
1,dry,consistentDry,A,0,LACA,Vulpia myuros,low,NA,10,12,15,15,1563
1,dry,consistentDry,A,0.9769,BRHO,Eschscholzia californica,low,NA,10,12,795,15,12
1,dry,consistentDry,A,0,LACA,Eschscholzia californica,low,NA,10,12,795,15,12
1,dry,consistentDry,A,83.0588,AVFA,Eschscholzia californica,low,NA,10,12,795,15,12
1,dry,consistentDry,A,0,VUMY,Eschscholzia californica,low,NA,10,12,795,15,12
1,dry,consistentDry,A,57.9232,AVFA,Vulpia myuros,high,NA,10,12,15,15,6251
1,dry,consistentDry,A,93.1103,ESCA,Vulpia myuros,high,NA,10,12,15,15,6251
1,dry,consistentDry,A,2.4809,BRHO,Vulpia myuros,high,NA,10,12,15,15,6251
1,dry,consistentDry,A,19.0927,LACA,Vulpia myuros,high,NA,10,12,15,15,6251
1,dry,consistentDry,A,97.4814,AVFA,Trifolium hirtum,low,NA,10,12,15,15,12
1,dry,consistentDry,A,2.4809,BRHO,Trifolium hirtum,low,NA,10,12,15,15,12
1,dry,consistentDry,A,33.9529,VUMY,Trifolium hirtum,low,NA,10,12,15,15,12
1,dry,consistentDry,A,17.0324,ESCA,Trifolium hirtum,low,NA,10,12,15,15,12
1,dry,consistentDry,A,0,LACA,Trifolium hirtum,low,NA,10,12,15,15,12
1,dry,consistentDry,A,0,VUMY,NA,NA,NA,10,12,15,15,12
1,dry,consistentDry,A,17.6001,ESCA,NA,NA,NA,10,12,15,15,12
1,dry,consistentDry,A,0,LACA,NA,NA,NA,10,12,15,15,12
1,dry,consistentDry,A,116.66,AVFA,NA,NA,NA,10,12,15,15,12
1,dry,consistentDry,A,3.4888,BRHO,NA,NA,NA,10,12,15,15,12
2,dry,fallDry,A,1.8925,ESCA,Vulpia myuros,low,NA,10,12,15,22,1563
2,dry,fallDry,A,12.2394,LACA,Vulpia myuros,low,NA,10,12,15,22,1563
2,dry,fallDry,A,34.1126,BRHO,Vulpia myuros,low,NA,10,12,15,22,1563
2,dry,fallDry,A,21.245,AVFA,Vulpia myuros,low,NA,10,12,15,22,1563
2,dry,fallDry,A,132.894,AVFA,Eschscholzia californica,low,NA,10,12,795,15,12
2,dry,fallDry,A,166.6206,VUMY,Eschscholzia californica,low,NA,10,12,795,15,12
2,dry,fallDry,A,31.0114,BRHO,Eschscholzia californica,low,NA,10,12,795,15,12
2,dry,fallDry,A,0,LACA,Eschscholzia californica,low,NA,10,12,795,15,12
2,dry,fallDry,A,8.7866,BRHO,Vulpia myuros,high,NA,10,12,15,15,6251
2,dry,fallDry,A,38.3572,AVFA,Vulpia myuros,high,NA,10,12,15,15,6251
2,dry,fallDry,A,2.271,ESCA,Vulpia myuros,high,NA,10,12,15,15,6251
2,dry,fallDry,A,7.9215,LACA,Vulpia myuros,high,NA,10,12,15,15,6251
2,dry,fallDry,A,380.2784,AVFA,Trifolium hirtum,high,NA,10,12,15,15,12
2,dry,fallDry,A,4.2581,ESCA,Trifolium hirtum,high,NA,10,12,15,15,12
2,dry,fallDry,A,5.1685,BRHO,Trifolium hirtum,high,NA,10,12,15,15,12
2,dry,fallDry,A,119.4638,VUMY,Trifolium hirtum,high,NA,10,12,15,15,12
2,dry,fallDry,A,0,LACA,Trifolium hirtum,high,NA,10,12,15,15,12
2,dry,fallDry,A,80.1665,VUMY,Lasthenia californica,low,NA,10,14,15,7745,12
2,dry,fallDry,A,8.0851,BRHO,Lasthenia californica,low,NA,10,14,15,7745,12
2,dry,fallDry,A,6.2452,ESCA,Lasthenia californica,low,NA,10,14,15,7745,12
2,dry,fallDry,A,332.2351,AVFA,Lasthenia californica,low,NA,10,14,15,7745,12
2,dry,fallDry,A,14.1936,ESCA,Bromus hordeaceus,high,NA,10,3231,15,15,12
2,dry,fallDry,A,123.1433,AVFA,Bromus hordeaceus,high,NA,10,3231,15,15,12
2,dry,fallDry,A,66.0195,VUMY,Bromus hordeaceus,high,NA,10,3231,15,15,12
2,dry,fallDry,A,0,LACA,Bromus hordeaceus,high,NA,10,3231,15,15,12
2,dry,fallDry,A,192.8187,VUMY,Avena fatua,high,NA,297,12,15,15,12
2,dry,fallDry,A,0,BRHO,Avena fatua,high,NA,297,12,15,15,12
2,dry,fallDry,A,3.9742,ESCA,Avena fatua,high,NA,297,12,15,15,12
2,dry,fallDry,A,12.8175,LACA,Avena fatua,high,NA,297,12,15,15,12
2,dry,fallDry,A,13.0936,BRHO,Avena fatua,low,NA,74,12,15,15,12
2,dry,fallDry,A,8.0109,LACA,Avena fatua,low,NA,74,12,15,15,12
2,dry,fallDry,A,44.013,VUMY,Avena fatua,low,NA,74,12,15,15,12
2,dry,fallDry,A,0.0625,ESCA,Avena fatua,low,NA,74,12,15,15,12
2,dry,fallDry,A,2.5843,BRHO,Eschscholzia californica,high,NA,10,12,3179,15,12
2,dry,fallDry,A,92.2176,VUMY,Eschscholzia californica,high,NA,10,12,3179,15,12
2,dry,fallDry,A,289.8097,AVFA,Eschscholzia californica,high,NA,10,12,3179,15,12
2,dry,fallDry,A,0,LACA,Eschscholzia californica,high,NA,10,12,3179,15,12
2,dry,fallDry,A,95.3117,AVFA,Trifolium hirtum,low,NA,10,12,15,15,12
2,dry,fallDry,A,0,LACA,Trifolium hirtum,low,NA,10,12,15,15,12
2,dry,fallDry,A,293.4198,VUMY,Trifolium hirtum,low,NA,10,12,15,15,12
2,dry,fallDry,A,13.0581,ESCA,Trifolium hirtum,low,NA,10,12,15,15,12
2,dry,fallDry,A,35.6631,BRHO,Trifolium hirtum,low,NA,10,12,15,15,12
2,dry,fallDry,A,8.5162,ESCA,NA,NA,NA,10,19,15,15,12
2,dry,fallDry,A,17.546,BRHO,NA,NA,NA,10,19,15,15,12
2,dry,fallDry,A,183.5971,VUMY,NA,NA,NA,10,19,15,15,12
2,dry,fallDry,A,161.5005,AVFA,NA,NA,NA,10,19,15,15,12
2,dry,fallDry,A,6.5089,LACA,NA,NA,NA,10,19,15,15,12
2,dry,fallDry,A,609.8943,VUMY,Bromus hordeaceus,low,NA,10,808,15,15,12
2,dry,fallDry,A,197.0164,AVFA,Bromus hordeaceus,low,NA,10,808,15,15,12
2,dry,fallDry,A,9.9355,ESCA,Bromus hordeaceus,low,NA,10,808,15,15,12
2,dry,fallDry,A,21.8071,LACA,Bromus hordeaceus,low,NA,10,808,15,15,12
2,dry,fallDry,A,9.3034,BRHO,Lasthenia californica,high,NA,10,17,15,30980,12
2,dry,fallDry,A,291.3595,AVFA,Lasthenia californica,high,NA,10,17,15,30980,12
2,dry,fallDry,A,12.4904,ESCA,Lasthenia californica,high,NA,10,17,15,30980,12
2,dry,fallDry,A,348.9602,VUMY,Lasthenia californica,high,NA,10,17,15,30980,12
3,wet,controlRain,A,2.271,ESCA,Lasthenia californica,high,NA,10,12,15,30980,12
3,wet,controlRain,A,13.9551,BRHO,Lasthenia californica,high,NA,10,12,15,30980,12
3,wet,controlRain,A,17.2908,VUMY,Lasthenia californica,high,NA,10,12,15,30980,12
3,wet,controlRain,A,39.907,AVFA,Lasthenia californica,high,NA,10,12,15,30980,12
3,wet,controlRain,A,18.0901,BRHO,Lasthenia californica,low,NA,10,12,15,7745,12
3,wet,controlRain,A,172.1222,VUMY,Lasthenia californica,low,NA,10,12,15,7745,12
3,wet,controlRain,A,70.4183,AVFA,Lasthenia californica,low,NA,10,12,15,7745,12
3,wet,controlRain,A,2.8387,ESCA,Lasthenia californica,low,NA,10,12,15,7745,12
3,wet,controlRain,A,2.271,ESCA,Avena fatua,high,NA,297,12,15,15,12
3,wet,controlRain,A,3.8764,BRHO,Avena fatua,high,NA,297,12,15,15,12
3,wet,controlRain,A,0,LACA,Avena fatua,high,NA,297,12,15,15,12
3,wet,controlRain,A,113.9622,VUMY,Avena fatua,high,NA,297,12,15,15,12
3,wet,controlRain,A,28.9939,AVFA,Vulpia myuros,low,NA,10,12,15,15,1563
3,wet,controlRain,A,2.4602,ESCA,Vulpia myuros,low,NA,10,12,15,15,1563
3,wet,controlRain,A,63.4198,LACA,Vulpia myuros,low,NA,10,12,15,15,1563
3,wet,controlRain,A,48.0677,BRHO,Vulpia myuros,low,NA,10,12,15,15,1563
3,wet,controlRain,A,2.0818,ESCA,Vulpia myuros,high,NA,10,12,15,15,6251
3,wet,controlRain,A,10.9483,LACA,Vulpia myuros,high,NA,10,12,15,15,6251
3,wet,controlRain,A,13.9551,BRHO,Vulpia myuros,high,NA,10,12,15,15,6251
3,wet,controlRain,A,42.8128,AVFA,Vulpia myuros,high,NA,10,12,15,15,6251
3,wet,controlRain,A,168.2162,AVFA,Trifolium hirtum,high,NA,10,12,15,15,12
3,wet,controlRain,A,0,ESCA,Trifolium hirtum,high,NA,10,12,15,15,12
3,wet,controlRain,A,247.1015,VUMY,Trifolium hirtum,high,NA,10,12,15,15,12
3,wet,controlRain,A,32.703,BRHO,Trifolium hirtum,high,NA,10,12,15,15,12
3,wet,controlRain,A,15.4878,LACA,Trifolium hirtum,high,NA,10,12,15,15,12
3,wet,controlRain,A,5.8667,ESCA,Avena fatua,low,NA,74,12,15,15,12
3,wet,controlRain,A,14.8855,BRHO,Avena fatua,low,NA,74,12,15,15,12
3,wet,controlRain,A,58.4744,VUMY,Avena fatua,low,NA,74,12,15,15,12
3,wet,controlRain,A,0,LACA,Avena fatua,low,NA,74,12,15,15,12
3,wet,controlRain,A,10.0302,ESCA,Bromus hordeaceus,low,NA,10,808,15,15,12
3,wet,controlRain,A,618.1703,AVFA,Bromus hordeaceus,low,NA,10,808,15,15,12
3,wet,controlRain,A,105.4772,LACA,Bromus hordeaceus,low,NA,10,808,15,15,12
3,wet,controlRain,A,317.5223,VUMY,Bromus hordeaceus,low,NA,10,808,15,15,12
3,wet,controlRain,A,199.0715,LACA,Eschscholzia californica,low,NA,10,12,795,15,12
3,wet,controlRain,A,142.5182,VUMY,Eschscholzia californica,low,NA,10,12,795,15,12
3,wet,controlRain,A,156.5282,AVFA,Eschscholzia californica,low,NA,10,12,795,15,12
3,wet,controlRain,A,32.562,BRHO,Eschscholzia californica,low,NA,10,12,795,15,12
3,wet,controlRain,A,0.2952,ESCA,Bromus hordeaceus,high,NA,10,3231,15,15,12
3,wet,controlRain,A,198.0585,VUMY,Bromus hordeaceus,high,NA,10,3231,15,15,12
3,wet,controlRain,A,58.5044,AVFA,Bromus hordeaceus,high,NA,10,3231,15,15,12
3,wet,controlRain,A,39.2535,LACA,Bromus hordeaceus,high,NA,10,3231,15,15,12
3,wet,controlRain,A,33.4456,LACA,Eschscholzia californica,high,NA,10,12,0,15,12
3,wet,controlRain,A,224.2566,VUMY,Eschscholzia californica,high,NA,10,12,0,15,12
3,wet,controlRain,A,20.1085,AVFA,Eschscholzia californica,high,NA,10,12,0,15,12
3,wet,controlRain,A,20.9327,BRHO,Eschscholzia californica,high,NA,10,12,0,15,12
3,wet,controlRain,A,73.879,VUMY,Trifolium hirtum,low,NA,10,12,15,15,12
3,wet,controlRain,A,23.4136,BRHO,Trifolium hirtum,low,NA,10,12,15,15,12
3,wet,controlRain,A,41.3276,AVFA,Trifolium hirtum,low,NA,10,12,15,15,12
3,wet,controlRain,A,109.5494,LACA,Trifolium hirtum,low,NA,10,12,15,15,12
3,wet,controlRain,A,0.247,ESCA,Trifolium hirtum,low,NA,10,12,15,15,12
3,wet,controlRain,A,34.8879,BRHO,NA,NA,NA,10,12,15,15,12
3,wet,controlRain,A,346.5706,AVFA,NA,NA,NA,10,12,15,15,12
3,wet,controlRain,A,1.3569,ESCA,NA,NA,NA,10,12,15,15,12
3,wet,controlRain,A,141.4703,VUMY,NA,NA,NA,10,12,15,15,12
3,wet,controlRain,A,89.9894,LACA,NA,NA,NA,10,12,15,15,12
4,wet,springDry,A,2.4538,AVFA,Vulpia myuros,high,NA,10,12,15,15,6251
4,wet,springDry,A,0,ESCA,Vulpia myuros,high,NA,10,12,15,15,6251
4,wet,springDry,A,0.9665,BRHO,Vulpia myuros,high,NA,10,12,15,15,6251
4,wet,springDry,A,0,LACA,Vulpia myuros,high,NA,10,12,15,15,6251
4,wet,springDry,A,12.9684,BRHO,Avena fatua,low,NA,74,12,15,15,12
4,wet,springDry,A,150.9017,VUMY,Avena fatua,low,NA,74,12,15,15,12
4,wet,springDry,A,3.5957,ESCA,Avena fatua,low,NA,74,12,15,15,12
4,wet,springDry,A,17.357,LACA,Avena fatua,low,NA,74,12,15,15,12
4,wet,springDry,A,82.7197,AVFA,Lasthenia californica,high,1,10,15,15,30980,12
4,wet,springDry,A,42.8992,BRHO,Lasthenia californica,high,1,10,15,15,30980,12
4,wet,springDry,A,0.0795,ESCA,Lasthenia californica,high,1,10,15,15,30980,12
4,wet,springDry,A,474.7116,VUMY,Lasthenia californica,high,1,10,15,15,30980,12
4,wet,springDry,A,75.4551,AVFA,Bromus hordeaceus,high,NA,10,3231,15,15,12
4,wet,springDry,A,0,VUMY,Bromus hordeaceus,high,NA,10,3231,15,15,12
4,wet,springDry,A,0,ESCA,Bromus hordeaceus,high,NA,10,3231,15,15,12
4,wet,springDry,A,0,LACA,Bromus hordeaceus,high,NA,10,3231,15,15,12
4,wet,springDry,A,23.9571,AVFA,Eschscholzia californica,high,NA,10,12,3179,15,12
4,wet,springDry,A,47.1568,VUMY,Eschscholzia californica,high,NA,10,12,3179,15,12
4,wet,springDry,A,0,LACA,Eschscholzia californica,high,NA,10,12,3179,15,12
4,wet,springDry,A,1.1164,BRHO,Eschscholzia californica,high,NA,10,12,3179,15,12
4,wet,springDry,A,354.4618,VUMY,Trifolium hirtum,high,1,10,12,15,15,12
4,wet,springDry,A,15.6349,BRHO,Trifolium hirtum,high,1,10,12,15,15,12
4,wet,springDry,A,0,ESCA,Trifolium hirtum,high,1,10,12,15,15,12
4,wet,springDry,A,0,AVFA,Trifolium hirtum,high,1,10,12,15,15,12
4,wet,springDry,A,0,LACA,Trifolium hirtum,high,1,10,12,15,15,12
4,wet,springDry,A,50.6102,AVFA,Eschscholzia californica,low,NA,10,18,795,15,12
4,wet,springDry,A,0,LACA,Eschscholzia californica,low,NA,10,18,795,15,12
4,wet,springDry,A,8.0113,BRHO,Eschscholzia californica,low,NA,10,18,795,15,12
4,wet,springDry,A,58.16,VUMY,Eschscholzia californica,low,NA,10,18,795,15,12
4,wet,springDry,A,0,LACA,Trifolium hirtum,low,1,10,12,15,15,12
4,wet,springDry,A,0,ESCA,Trifolium hirtum,low,1,10,12,15,15,12
4,wet,springDry,A,0,AVFA,Trifolium hirtum,low,1,10,12,15,15,12
4,wet,springDry,A,9.4314,VUMY,Trifolium hirtum,low,1,10,12,15,15,12
4,wet,springDry,A,0,BRHO,Trifolium hirtum,low,1,10,12,15,15,12
4,wet,springDry,A,0.1788,ESCA,Avena fatua,high,NA,297,12,15,15,12
4,wet,springDry,A,3.7657,BRHO,Avena fatua,high,NA,297,12,15,15,12
4,wet,springDry,A,37.7254,VUMY,Avena fatua,high,NA,297,12,15,15,12
4,wet,springDry,A,0,LACA,Avena fatua,high,NA,297,12,15,15,12
4,wet,springDry,A,30.7013,BRHO,Vulpia myuros,low,NA,10,12,15,15,1563
4,wet,springDry,A,62.0301,AVFA,Vulpia myuros,low,NA,10,12,15,15,1563
4,wet,springDry,A,38.853,LACA,Vulpia myuros,low,NA,10,12,15,15,1563
4,wet,springDry,A,1.3721,ESCA,Vulpia myuros,low,NA,10,12,15,15,1563
4,wet,springDry,A,4.0055,LACA,NA,NA,NA,10,12,15,15,12
4,wet,springDry,A,27.738,BRHO,NA,NA,NA,10,12,15,15,12
4,wet,springDry,A,0.0738,ESCA,NA,NA,NA,10,12,15,15,12
4,wet,springDry,A,312.669,AVFA,NA,NA,NA,10,12,15,15,12
4,wet,springDry,A,116.3201,VUMY,NA,NA,NA,10,12,15,15,12
4,wet,springDry,A,0,LACA,Bromus hordeaceus,low,NA,10,808,15,15,12
4,wet,springDry,A,0.3123,ESCA,Bromus hordeaceus,low,NA,10,808,15,15,12
4,wet,springDry,A,147.2941,AVFA,Bromus hordeaceus,low,NA,10,808,15,15,12
4,wet,springDry,A,130.4671,VUMY,Bromus hordeaceus,low,NA,10,808,15,15,12
4,wet,springDry,A,296.2994,AVFA,Lasthenia californica,low,NA,10,12,15,7745,12
4,wet,springDry,A,7.5806,BRHO,Lasthenia californica,low,NA,10,12,15,7745,12
4,wet,springDry,A,330.0974,VUMY,Lasthenia californica,low,NA,10,12,15,7745,12
4,wet,springDry,A,1.1468,ESCA,Lasthenia californica,low,NA,10,12,15,7745,12
5,dry,fallDry,B,65.2335,VUMY,Avena fatua,low,NA,74,12,15,15,12
5,dry,fallDry,B,0,LACA,Avena fatua,low,NA,74,12,15,15,12
5,dry,fallDry,B,11.3549,ESCA,Avena fatua,low,NA,74,12,15,15,12
5,dry,fallDry,B,5.427,BRHO,Avena fatua,low,NA,74,12,15,15,12
5,dry,fallDry,B,1.5506,BRHO,Lasthenia californica,low,NA,10,12,15,7745,12
5,dry,fallDry,B,202.4598,VUMY,Lasthenia californica,low,NA,10,12,15,7745,12
5,dry,fallDry,B,539.1313,AVFA,Lasthenia californica,low,NA,10,12,15,7745,12
5,dry,fallDry,B,0,ESCA,Lasthenia californica,low,NA,10,12,15,7745,12
5,dry,fallDry,B,503.0056,VUMY,Lasthenia californica,high,NA,10,12,15,30980,12
5,dry,fallDry,B,0,ESCA,Lasthenia californica,high,NA,10,12,15,30980,12
5,dry,fallDry,B,10.2338,BRHO,Lasthenia californica,high,NA,10,12,15,30980,12
5,dry,fallDry,B,230.595,AVFA,Lasthenia californica,high,NA,10,12,15,30980,12
5,dry,fallDry,B,365.465,VUMY,Bromus hordeaceus,low,NA,10,808,15,15,12
5,dry,fallDry,B,155.8502,AVFA,Bromus hordeaceus,low,NA,10,808,15,15,12
5,dry,fallDry,B,11.3549,ESCA,Bromus hordeaceus,low,NA,10,808,15,15,12
5,dry,fallDry,B,0,LACA,Bromus hordeaceus,low,NA,10,808,15,15,12
5,dry,fallDry,B,273.5093,VUMY,Trifolium hirtum,high,NA,10,12,15,15,12
5,dry,fallDry,B,245.544,AVFA,Trifolium hirtum,high,NA,10,12,15,15,12
5,dry,fallDry,B,0,LACA,Trifolium hirtum,high,NA,10,12,15,15,12
5,dry,fallDry,B,0,BRHO,Trifolium hirtum,high,NA,10,12,15,15,12
5,dry,fallDry,B,1.514,ESCA,Trifolium hirtum,high,NA,10,12,15,15,12
5,dry,fallDry,B,1.6746,BRHO,Vulpia myuros,high,NA,10,12,15,15,6251
5,dry,fallDry,B,18.3571,ESCA,Vulpia myuros,high,NA,10,12,15,15,6251
5,dry,fallDry,B,215.8075,AVFA,Vulpia myuros,high,NA,10,12,15,15,6251
5,dry,fallDry,B,0,LACA,Vulpia myuros,high,NA,10,12,15,15,6251
5,dry,fallDry,B,939.9918,VUMY,Trifolium hirtum,low,NA,10,12,15,15,12
5,dry,fallDry,B,18.9248,ESCA,Trifolium hirtum,low,NA,10,12,15,15,12
5,dry,fallDry,B,763.85,AVFA,Trifolium hirtum,low,NA,10,12,15,15,12
5,dry,fallDry,B,0,LACA,Trifolium hirtum,low,NA,10,12,15,15,12
5,dry,fallDry,B,5.9807,BRHO,Trifolium hirtum,low,NA,10,12,15,15,12
5,dry,fallDry,B,56.5881,VUMY,Avena fatua,high,NA,297,12,15,15,12
5,dry,fallDry,B,0.757,ESCA,Avena fatua,high,NA,297,12,15,15,12
5,dry,fallDry,B,1.8607,BRHO,Avena fatua,high,NA,297,12,15,15,12
5,dry,fallDry,B,0,LACA,Avena fatua,high,NA,297,12,15,15,12
5,dry,fallDry,B,12.684,LACA,NA,NA,NA,10,12,15,30,12
5,dry,fallDry,B,11.1125,BRHO,NA,NA,NA,10,12,15,30,12
5,dry,fallDry,B,146.5515,AVFA,NA,NA,NA,10,12,15,30,12
5,dry,fallDry,B,2.271,ESCA,NA,NA,NA,10,12,15,30,12
5,dry,fallDry,B,100.8869,VUMY,NA,NA,NA,10,12,15,30,12
5,dry,fallDry,B,1.8925,ESCA,Bromus hordeaceus,high,NA,10,3231,15,15,12
5,dry,fallDry,B,0,LACA,Bromus hordeaceus,high,NA,10,3231,15,15,12
5,dry,fallDry,B,416.5515,VUMY,Bromus hordeaceus,high,NA,10,3231,15,15,12
5,dry,fallDry,B,102.8669,AVFA,Bromus hordeaceus,high,NA,10,3231,15,15,12
5,dry,fallDry,B,11.3708,BRHO,Eschscholzia californica,low,NA,10,12,795,15,12
5,dry,fallDry,B,106.8887,VUMY,Eschscholzia californica,low,NA,10,12,795,15,12
5,dry,fallDry,B,34.7539,AVFA,Eschscholzia californica,low,NA,10,12,795,15,12
5,dry,fallDry,B,0,LACA,Eschscholzia californica,low,NA,10,12,795,15,12
5,dry,fallDry,B,0,LACA,Eschscholzia californica,high,NA,10,12,3179,15,12
5,dry,fallDry,B,78.1996,AVFA,Eschscholzia californica,high,NA,10,12,3179,15,12
5,dry,fallDry,B,10.3372,BRHO,Eschscholzia californica,high,NA,10,12,3179,15,12
5,dry,fallDry,B,1059.4556,VUMY,Eschscholzia californica,high,NA,10,12,3179,15,12
5,dry,fallDry,B,0.9463,ESCA,Vulpia myuros,low,NA,10,12,15,15,1563
5,dry,fallDry,B,2.2151,BRHO,Vulpia myuros,low,NA,10,12,15,15,1563
5,dry,fallDry,B,60.4416,AVFA,Vulpia myuros,low,NA,10,12,15,15,1563
5,dry,fallDry,B,0,LACA,Vulpia myuros,low,NA,10,12,15,15,1563
6,wet,controlRain,B,19.7598,AVFA,Lasthenia californica,low,1,10,12,15,7745,12
6,wet,controlRain,B,9.8202,BRHO,Lasthenia californica,low,1,10,12,15,7745,12
6,wet,controlRain,B,105.3168,VUMY,Lasthenia californica,low,1,10,12,15,7745,12
6,wet,controlRain,B,0.0341,ESCA,Lasthenia californica,low,1,10,12,15,7745,12
6,wet,controlRain,B,396.1169,VUMY,Eschscholzia californica,low,NA,10,12,795,15,12
6,wet,controlRain,B,0.2946,BRHO,Eschscholzia californica,low,NA,10,12,795,15,12
6,wet,controlRain,B,0,LACA,Eschscholzia californica,low,NA,10,12,795,15,12
6,wet,controlRain,B,10.771,AVFA,Eschscholzia californica,low,NA,10,12,795,15,12
6,wet,controlRain,B,39.0352,AVFA,Bromus hordeaceus,low,NA,10,808,15,15,12
6,wet,controlRain,B,67.5914,VUMY,Bromus hordeaceus,low,NA,10,808,15,15,12
6,wet,controlRain,B,2.1362,LACA,Bromus hordeaceus,low,NA,10,808,15,15,12
6,wet,controlRain,B,0.2328,ESCA,Bromus hordeaceus,low,NA,10,808,15,15,12
6,wet,controlRain,B,0,LACA,Eschscholzia californica,high,NA,10,12,3179,15,12
6,wet,controlRain,B,3.4888,BRHO,Eschscholzia californica,high,NA,10,12,3179,15,12
6,wet,controlRain,B,29.4459,AVFA,Eschscholzia californica,high,NA,10,12,3179,15,12
6,wet,controlRain,B,100.6011,VUMY,Eschscholzia californica,high,NA,10,12,3179,15,12
6,wet,controlRain,B,14.9167,AVFA,Bromus hordeaceus,high,NA,10,3231,15,15,12
6,wet,controlRain,B,0,LACA,Bromus hordeaceus,high,NA,10,3231,15,15,12
6,wet,controlRain,B,0,ESCA,Bromus hordeaceus,high,NA,10,3231,15,15,12
6,wet,controlRain,B,0,VUMY,Bromus hordeaceus,high,NA,10,3231,15,15,12
6,wet,controlRain,B,0,LACA,Avena fatua,low,NA,74,12,15,15,12
6,wet,controlRain,B,0.0681,ESCA,Avena fatua,low,NA,74,12,15,15,12
6,wet,controlRain,B,94.3136,VUMY,Avena fatua,low,NA,74,12,15,15,12
6,wet,controlRain,B,0,BRHO,Avena fatua,low,NA,74,12,15,15,12
6,wet,controlRain,B,0,LACA,Trifolium hirtum,high,NA,10,12,15,15,12
6,wet,controlRain,B,0,ESCA,Trifolium hirtum,high,NA,10,12,15,15,12
6,wet,controlRain,B,0,VUMY,Trifolium hirtum,high,NA,10,12,15,15,12
6,wet,controlRain,B,56.0344,AVFA,Trifolium hirtum,high,NA,10,12,15,15,12
6,wet,controlRain,B,0,BRHO,Trifolium hirtum,high,NA,10,12,15,15,12
